Id,SalePrice
1461,114512.96
1462,123703.84
1463,171158.3
1464,181636.55
1465,168048.86
1466,161242.3
1467,156048.89
1468,150494.97
1469,160352.05
1470,114666.516
1471,191859.55
1472,90356.41
1473,92574.16
1474,129366.17
1475,104822.45
1476,299131.5
1477,211736.11
1478,247981.88
1479,239648.34
1480,523224.66
1481,278815.47
1482,175051.23
1483,147208.34
1484,154263.36
1485,156106.02
1486,178731.36
1487,349246.84
1488,213530.36
1489,168181.86
1490,220813.39
1491,172648.42
1492,88940.98
1493,176837.4
1494,235974.4
1495,246308.28
1496,216410.0
1497,172352.67
1498,139563.6
1499,137091.38
1500,141845.77
1501,172851.02
1502,136964.4
1503,270300.72
1504,214601.48
1505,204788.3
1506,186238.05
1507,244520.39
1508,180484.06
1509,138245.73
1510,137323.36
1511,142370.97
1512,181805.14
1513,129045.36
1514,141590.22
1515,175263.14
1516,147093.95
1517,138778.0
1518,137963.89
1519,199414.48
1520,123362.664
1521,136629.64
1522,172215.33
1523,101324.375
1524,105973.47
1525,110032.11
1526,95001.836
1527,93194.76
1528,112784.484
1529,137467.8
1530,155920.53
1531,133650.3
1532,93472.16
1533,153966.94
1534,109403.51
1535,147672.45
1536,98424.12
1537,75649.86
1538,123042.88
1539,171985.67
1540,120580.95
1541,137730.36
1542,135579.89
1543,160120.83
1544,74272.03
1545,89316.69
1546,114362.08
1547,120405.11
1548,111992.7
1549,108156.67
1550,118069.53
1551,113671.04
1552,154831.89
1553,133197.42
1554,109407.53
1555,165126.86
1556,92933.875
1557,100486.11
1558,99163.69
1559,105248.58
1560,129820.13
1561,134603.27
1562,116257.3
1563,109338.79
1564,163857.67
1565,143981.61
1566,202895.33
1567,78197.83
1568,224735.78
1569,135984.48
1570,125407.54
1571,112390.02
1572,134742.11
1573,198451.38
1574,132864.33
1575,227134.08
1576,240145.05
1577,159705.69
1578,123625.25
1579,128063.56
1580,174813.19
1581,140507.48
1582,102433.555
1583,321307.62
1584,211427.39
1585,133212.39
1586,49377.68
1587,93129.16
1588,137181.27
1589,105493.73
1590,115842.586
1591,90638.8
1592,122088.305
1593,103690.65
1594,131054.0
1595,123759.625
1596,199370.1
1597,182432.39
1598,165585.33
1599,145690.53
1600,148854.72
1601,63475.48
1602,112517.51
1603,94323.766
1604,240981.95
1605,208862.83
1606,143763.67
1607,182844.05
1608,183890.98
1609,152270.98
1610,128595.06
1611,121540.44
1612,168096.75
1613,162887.95
1614,122314.91
1615,84988.05
1616,77411.53
1617,87617.6
1618,107220.8
1619,119758.11
1620,190956.75
1621,124946.766
1622,132523.92
1623,207383.64
1624,225102.39
1625,111045.08
1626,159052.19
1627,181096.86
1628,239525.7
1629,137073.08
1630,371433.06
1631,170181.86
1632,189079.3
1633,140248.67
1634,165854.52
1635,158953.66
1636,138039.58
1637,216786.69
1638,174583.64
1639,158775.2
1640,210294.3
1641,161736.06
1642,203006.97
1643,204287.02
1644,190142.08
1645,203223.05
1646,149114.02
1647,147439.9
1648,121697.89
1649,132811.42
1650,97770.22
1651,106763.06
1652,91427.63
1653,91052.22
1654,127261.1
1655,129593.28
1656,125085.62
1657,123753.57
1658,133025.69
1659,95597.81
1660,127169.28
1661,388968.22
1662,322063.5
1663,343981.12
1664,514728.8
1665,257614.81
1666,301791.06
1667,309165.5
1668,285209.38
1669,236186.81
1670,285734.2
1671,262081.27
1672,465765.12
1673,260436.97
1674,220738.6
1675,181197.9
1676,187243.36
1677,180676.38
1678,523964.5
1679,357517.3
1680,267767.0
1681,198265.14
1682,262997.38
1683,176176.22
1684,160566.16
1685,164380.02
1686,161337.89
1687,148754.86
1688,176225.7
1689,177484.33
1690,173362.3
1691,162431.55
1692,218660.94
1693,145642.9
1694,164687.86
1695,135230.23
1696,244222.23
1697,140660.48
