ID,Calories_Burned
TEST_0000,172.97655713973083
TEST_0001,189.46537443592803
TEST_0002,53.695591892919566
TEST_0003,161.20210296334403
TEST_0004,225.8840785795911
TEST_0005,178.5086984003674
TEST_0006,98.02169781502259
TEST_0007,43.820426956519945
TEST_0008,79.1051718320924
TEST_0009,58.83261114334137
TEST_0010,123.54203421794958
TEST_0011,54.57809962169329
TEST_0012,14.166411363441902
TEST_0013,176.96682532979636
TEST_0014,229.0689741469982
TEST_0015,13.3492641357812
TEST_0016,97.65032034915856
TEST_0017,129.8247942907443
TEST_0018,158.00002151195983
TEST_0019,6.8285410404426825
TEST_0020,50.479548591297245
TEST_0021,89.38386934416273
TEST_0022,24.77443413860152
TEST_0023,86.52068288572886
TEST_0024,19.84806029375684
TEST_0025,128.21610375658514
TEST_0026,105.13971828501673
TEST_0027,188.68415202426579
TEST_0028,120.97131303088172
TEST_0029,99.8918091412021
TEST_0030,25.10902340953882
TEST_0031,243.97069899108976
TEST_0032,54.65790545999675
TEST_0033,46.935344257999745
TEST_0034,134.05604534550366
TEST_0035,112.82258577747766
TEST_0036,37.55264229372672
TEST_0037,129.26693018087323
TEST_0038,11.336676683665427
TEST_0039,129.71474602403416
TEST_0040,201.49629703468236
TEST_0041,168.0929102941212
TEST_0042,145.52035557806246
TEST_0043,60.20197125580425
TEST_0044,67.71741808904015
TEST_0045,52.60738159397604
TEST_0046,77.7240835793059
TEST_0047,197.61381165010656
TEST_0048,139.27820130020567
TEST_0049,125.71754389044068
TEST_0050,10.78543845750583
TEST_0051,112.10214614272944
TEST_0052,158.0658406341151
TEST_0053,92.49857208242356
TEST_0054,68.65476077452057
TEST_0055,86.53926444586591
TEST_0056,159.898080115891
TEST_0057,18.485626931060075
TEST_0058,30.758658979212324
TEST_0059,96.13775747400467
TEST_0060,38.74609136100811
TEST_0061,108.92692120683832
TEST_0062,90.12140889143177
TEST_0063,50.505612038316606
TEST_0064,34.45085953436247
TEST_0065,135.6919783739244
TEST_0066,231.13379791964027
TEST_0067,125.92685710581323
TEST_0068,101.27723640316957
TEST_0069,44.86676383222519
TEST_0070,125.42205539961995
TEST_0071,26.191218640884884
