ID,Calories_Burned
TEST_0000,172.88497300055627
TEST_0001,189.20727108773264
TEST_0002,54.05776684750185
TEST_0003,161.57154258526054
TEST_0004,226.28463374504878
TEST_0005,178.43634605421744
TEST_0006,98.40448101876694
TEST_0007,44.09446298435594
TEST_0008,79.34489978977774
TEST_0009,57.767452119466896
TEST_0010,124.19450862692028
TEST_0011,54.39044329351924
TEST_0012,13.880950003267628
TEST_0013,176.0670805944003
TEST_0014,230.02607309037802
TEST_0015,14.036643003071333
TEST_0016,98.10090938486425
TEST_0017,130.5345916122095
TEST_0018,158.5601119118753
TEST_0019,7.728301102168302
TEST_0020,49.79973307755813
TEST_0021,89.61293909682311
TEST_0022,25.613101093449018
TEST_0023,86.57569492877897
TEST_0024,19.119441462768407
TEST_0025,129.53347675403987
TEST_0026,105.8516875218508
TEST_0027,188.54611281527306
TEST_0028,121.30760533968589
TEST_0029,100.32189769324407
TEST_0030,24.245624306285322
TEST_0031,243.76206322303915
TEST_0032,54.93843666771593
TEST_0033,47.331148974179285
TEST_0034,134.12033755300308
TEST_0035,113.35591320410339
TEST_0036,38.84995407897617
TEST_0037,129.9439904006311
TEST_0038,11.136366423709774
TEST_0039,129.08582144551843
TEST_0040,201.34579769137508
TEST_0041,168.43322011790738
TEST_0042,145.915300283776
TEST_0043,60.27337379925757
TEST_0044,68.14253643724706
TEST_0045,52.76711862098881
TEST_0046,78.99992415930171
TEST_0047,198.51100127222162
TEST_0048,139.4195746008288
TEST_0049,125.27504899879094
TEST_0050,11.102054494540425
TEST_0051,111.69837237901436
TEST_0052,157.53405389001603
TEST_0053,92.29502818624266
TEST_0054,68.37592940655227
TEST_0055,86.29811481106938
TEST_0056,160.46324921747356
TEST_0057,17.97687835864707
TEST_0058,30.737775823015568
TEST_0059,96.30022361197487
TEST_0060,38.22466560271863
TEST_0061,109.92298378899667
TEST_0062,90.00479955161268
TEST_0063,50.888757196491724
TEST_0064,33.913538206666146
TEST_0065,135.04024905542164
TEST_0066,232.10240271588646
TEST_0067,125.95854054895307
TEST_0068,101.49755016146224
TEST_0069,44.79366069837113
TEST_0070,125.5319740173754
TEST_0071,25.59810968249525
TEST_0072,8.994824165179068
TEST_0073,151.02914796854995
TEST_0074,32.21664753451029
