id,count
0,120.49526
1,142.49742
2,101.53219
4,45.908466
5,90.88529
10,142.67763
11,265.05823
12,276.6563
15,29.881838
17,146.29958
18,266.99622
23,201.82536
25,54.986294
26,53.88509
31,151.9438
39,131.26971
40,20.866741
41,185.30128
42,354.68927
43,152.70512
51,233.80223
52,107.33929
54,9.509328
60,115.480835
61,92.3147
62,89.555214
63,25.78598
65,123.27916
66,115.49176
68,131.93846
71,70.03506
80,39.53009
82,85.21938
94,90.62139
98,328.21573
101,37.372593
102,109.77715
107,203.01395
112,273.02835
113,66.87822
115,41.715168
116,131.53922
120,216.18468
121,85.506226
122,310.01434
132,204.1725
143,93.10771
147,68.50676
150,25.312685
151,87.83692
152,224.81516
153,98.481964
155,54.880802
156,129.99738
159,214.03017
161,118.62417
163,58.822598
177,203.234
186,35.30543
188,26.84535
190,88.18037
191,91.529785
192,276.00558
195,276.68622
200,140.75298
209,304.946
210,18.48862
211,218.23805
214,87.05611
215,35.955547
218,114.21188
219,39.909252
222,185.95827
225,13.480685
228,319.72223
236,209.5647
241,38.460247
242,170.24182
243,244.95607
245,24.805838
247,254.52547
251,66.114624
252,89.340965
253,108.36214
254,84.61706
258,364.74203
260,71.42866
261,160.38454
265,116.57602
266,239.37709
267,276.71613
269,199.93762
270,87.695526
275,112.439125
278,37.693844
279,87.34974
286,90.09008
287,35.753784
288,199.01637
289,157.43173
293,31.954718
294,138.94182
297,74.84122
302,123.30645
303,57.87848
304,50.51046
307,82.7135
309,27.051632
311,192.27805
312,82.42297
314,166.38353
315,241.81352
319,173.38327
322,120.21905
323,84.199295
325,104.41362
327,218.52812
330,41.2001
332,214.83505
333,36.750496
338,99.38197
341,104.78734
345,189.13313
348,82.86049
349,56.603462
350,119.456535
352,56.441822
355,22.689259
356,239.8823
358,50.696777
363,105.97298
369,140.04349
371,35.41024
372,115.14287
375,236.4559
380,100.76581
388,62.532284
391,73.69064
392,254.39334
393,376.8114
394,218.72302
396,9.5639305
401,34.64677
407,89.19034
409,95.60518
410,109.61923
416,97.260506
418,131.02757
420,150.05786
421,219.57335
422,97.84216
424,296.72513
428,287.5682
429,195.02234
431,124.7608
435,15.19037
439,102.28481
441,19.375053
447,83.46591
449,124.55688
451,135.7689
452,7.8304033
454,213.39651
458,156.74297
463,91.07935
467,25.496128
470,180.77652
471,184.66508
474,243.87009
478,21.119339
483,128.69797
484,115.86694
485,105.10589
486,104.29416
491,93.68926
494,122.38985
495,241.06734
497,231.7167
499,128.56516
515,73.37265
518,198.87308
521,199.21431
525,123.43001
529,266.666
532,103.00196
534,89.04489
540,130.72096
544,309.2026
547,176.9316
549,48.526833
563,45.182735
564,138.61685
567,116.31903
572,106.66401
577,123.86058
578,280.84454
585,281.28958
588,133.89746
589,101.55154
590,104.60442
592,17.480103
594,199.00941
596,19.357382
598,331.2692
599,99.23301
605,31.946335
606,105.191696
607,255.67595
608,223.39452
609,91.924095
610,291.40192
611,206.67877
614,82.2457
615,247.84236
616,244.41853
617,115.947945
618,256.03787
624,118.910805
629,120.04212
631,102.510925
633,105.25957
637,21.26467
638,121.934296
643,42.900543
644,134.99438
645,28.981285
646,207.29724
648,147.60417
650,40.851845
651,224.77325
652,240.79927
656,82.11963
657,35.00449
659,68.077675
660,178.86133
662,113.45765
665,408.80496
675,277.32187
681,156.48413
682,198.59935
685,33.792847
686,243.71333
689,14.204825
696,130.72841
703,150.4012
704,100.74981
705,95.86072
714,242.08731
717,117.348404
718,-8.934791
720,79.7963
721,291.8758
723,214.7918
726,189.26099
728,115.116516
730,215.71599
731,20.377483
734,391.95197
737,52.87854
738,29.509468
745,137.0898
746,32.62195
749,217.11295
752,24.661356
753,135.62961
758,250.4242
765,43.548832
766,235.11908
768,73.52562
769,188.81592
774,144.44966
775,104.42228
781,72.110504
784,279.98758
794,16.176329
795,235.02199
796,73.44876
802,187.12654
803,199.24754
805,36.198925
806,248.62196
807,101.37629
809,8.428713
810,140.94106
812,181.2621
814,116.497955
818,257.6976
819,122.334274
825,71.07793
836,130.61414
839,143.7556
847,273.20975
848,211.06995
851,90.73576
852,153.07515
853,37.98759
857,151.03787
858,50.03782
859,221.87738
861,22.966173
867,96.03453
870,200.07562
871,166.25296
872,233.24573
874,356.78302
881,202.6779
886,109.72358
890,48.888092
895,144.43034
899,103.670074
900,261.29813
901,202.58983
902,254.86815
903,43.781322
913,252.42421
918,155.82265
923,78.456116
924,25.31279
926,12.053403
927,20.581463
930,222.4311
934,48.278477
937,78.93505
939,139.0497
941,97.71748
942,339.53577
946,254.57828
950,109.597984
953,69.56371
959,90.215744
961,30.685928
962,110.52046
964,152.3686
969,167.72281
971,94.10828
976,34.442806
978,236.94867
980,230.0302
981,184.83269
990,296.91254
993,-0.7799741
996,19.239162
998,310.85556
999,210.99562
1006,96.85507
1008,21.49757
1013,41.013237
1015,111.890945
1016,75.984474
1022,276.6178
1026,171.51776
1028,222.15019
1031,68.39236
1034,70.6357
1037,147.78983
1040,61.081608
1042,17.932
1046,26.742874
1048,92.84927
1049,125.138245
1050,85.90272
1051,244.69356
1052,238.19917
1055,216.7978
1060,160.81787
1064,44.2575
1066,68.21964
1071,70.42796
1073,18.222874
1089,224.38832
1091,106.52286
1092,86.872536
1093,194.73007
1096,257.18283
1097,220.0491
1098,24.689766
1099,54.5659
1102,184.11836
1107,105.84155
1109,31.118423
1111,121.47724
1112,117.62793
1114,338.24057
1116,246.4319
1117,95.60049
1118,75.21979
1122,128.26932
1124,197.41689
1127,102.069626
1133,216.39217
1134,53.662548
1135,100.36199
1139,254.0237
1143,73.75932
1150,130.75575
1151,105.51447
1153,259.73538
1155,30.419752
1162,42.08938
1163,194.58322
1166,11.968174
1171,97.36931
1172,17.695467
1173,266.56442
1174,106.50652
1177,129.61902
1178,173.73468
1184,189.95842
1185,114.80664
1186,104.7846
1187,114.621735
1188,235.68916
1191,153.12839
1207,105.81756
1213,31.866796
1215,82.40017
1223,171.09825
1227,109.33546
1236,68.4238
1237,65.786026
1238,37.200047
1241,30.331934
1248,22.836313
1250,45.19467
1251,130.25674
1253,118.2499
1255,110.211395
1257,137.37279
1261,117.627396
1262,341.84637
1265,123.82084
1273,152.6998
1277,269.1997
1278,120.63706
1280,118.54051
1284,206.75438
1285,333.22455
1288,45.990868
1295,102.422646
1297,357.68793
1299,237.21645
1304,144.85883
1308,41.10506
1310,101.62728
1311,104.45057
1314,93.905945
1315,94.06328
1318,27.496162
1320,317.0754
1321,258.187
1322,235.79323
1330,61.04099
1333,180.30223
1334,197.84677
1341,135.63826
1344,114.584274
1351,215.92482
1354,98.7956
1356,71.710625
1363,102.655396
1365,141.31943
1369,120.49868
1373,117.75416
1375,102.14714
1377,95.21049
1379,147.60014
1380,275.48486
1381,87.730095
1384,198.24599
1390,192.38272
1393,225.0228
1395,55.925304
1399,370.90137
1400,91.12658
1401,194.42279
1404,168.64294
1408,13.669425
1409,38.926365
1413,210.53471
1416,252.26907
1418,76.64532
1423,98.136314
1424,25.235525
1425,22.396942
1433,281.86377
1434,161.35016
1436,413.337
1442,259.9255
1444,83.01891
1445,71.02784
1452,233.90276
1455,161.25076
1462,83.66334
1467,94.35673
1472,46.274895
1475,201.9175
1493,86.0766
1501,210.59013
1503,327.41113
1504,198.72067
1505,27.604954
1511,264.2614
1512,56.900055
1513,79.95541
1514,43.98106
1528,294.76712
1533,198.03705
1534,39.502724
1536,158.55154
1537,106.00781
1539,108.499535
1550,226.9872
1552,229.32964
1554,167.83867
1555,303.16742
1556,93.15021
1559,37.21736
1563,189.02667
1566,130.65799
1567,195.29854
1568,40.816574
1571,222.19449
1572,32.338745
1574,78.02768
1577,29.435589
1583,108.511765
1585,42.613693
1586,147.09189
1587,170.94246
1596,141.62721
1602,30.983498
1604,79.51414
1605,14.646343
1610,259.3544
1611,121.45966
1616,26.561026
1617,98.4194
1618,22.316933
1622,66.69533
1623,29.817842
1628,272.59958
1631,-4.6347246
1632,235.74542
1633,251.37871
1634,260.14847
1636,182.4587
1637,69.20607
1643,171.92061
1644,110.33264
1646,100.948364
1648,201.34119
1651,28.93006
1656,38.01666
1658,133.5458
1659,27.024588
1665,190.3453
1666,138.21976
1670,33.913235
1674,147.3681
1679,201.17096
1680,181.99272
1683,380.08774
1686,21.76941
1691,124.18438
1693,31.329826
1696,47.63186
1697,94.40723
1703,111.92673
1706,34.64146
1709,168.75182
1710,91.960434
1712,262.95337
1713,93.19325
